time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-01-22T12:08:57.830Z,35.643,-117.581,7.31,1.38,ml,22,105,0.02305,0.16,ci,ci39277976,2020-01-22T15:19:35.619Z,"9km ENE of Ridgecrest, CA",earthquake,0.27,0.54,0.14,20,reviewed,ci,ci
2020-01-22T09:23:58.380Z,35.6598333,-117.54,7.45,1.52,ml,25,66,0.04454,0.17,ci,ci39277848,2020-01-22T17:26:32.901Z,"13km ENE of Ridgecrest, CA",earthquake,0.29,0.82,0.113,22,reviewed,ci,ci
2020-01-22T09:18:48.900Z,35.6741667,-117.52,7.63,1.29,ml,23,118,0.06561,0.16,ci,ci39277832,2020-01-22T15:22:54.860Z,"15km SW of Searles Valley, CA",earthquake,0.34,0.82,0.13,15,reviewed,ci,ci
2020-01-22T08:06:53.680Z,35.6426667,-117.4786667,8.51,2.34,ml,33,76,0.04444,0.15,ci,ci39277752,2020-01-22T16:09:17.559Z,"15km SSW of Searles Valley, CA",earthquake,0.26,0.46,0.153,26,automatic,ci,ci
2020-01-22T05:06:49.610Z,35.6658333,-117.525,6.89,2.22,ml,32,51,0.05657,0.16,ci,ci39277512,2020-01-22T05:17:30.630Z,"14km ENE of Ridgecrest, CA",earthquake,0.22,0.57,0.145,24,automatic,ci,ci
2020-01-22T02:45:04.810Z,35.665,-117.489,4.91,1.93,ml,30,55,0.06531,0.15,ci,ci39277424,2020-01-22T15:29:19.290Z,"14km SW of Searles Valley, CA",earthquake,0.23,0.49,0.131,26,reviewed,ci,ci
2020-01-22T02:04:16.820Z,35.815,-117.6791667,6.14,1.95,ml,31,49,0.06637,0.18,ci,ci39277400,2020-01-22T02:08:19.011Z,"22km N of Ridgecrest, CA",earthquake,0.22,0.66,0.184,26,automatic,ci,ci
2020-01-22T00:35:41.670Z,35.8091667,-117.6241667,2.45,1.31,ml,19,65,0.02264,0.22,ci,ci39277352,2020-01-22T15:29:38.815Z,"20km WNW of Searles Valley, CA",earthquake,0.34,0.46,0.139,18,reviewed,ci,ci
2020-01-21T20:08:03.300Z,35.8011667,-117.6078333,10.69,2.68,ml,42,31,0.01679,0.15,ci,ci39277104,2020-01-23T20:02:41.880Z,"19km WNW of Searles Valley, CA",earthquake,0.14,0.27,0.146,104,reviewed,ci,ci
2020-01-21T19:42:17.170Z,35.6661667,-117.4988333,10.46,1.76,ml,27,54,0.06659,0.18,ci,ci39277080,2020-01-22T15:32:32.680Z,"14km SW of Searles Valley, CA",earthquake,0.29,0.57,0.235,25,reviewed,ci,ci
